number, avg elapsed time (s), avg max val, avg rate, max val1, rate 1, max val2, rate 2, max val 3, rate 3, graph, nodes, edges, selection, crossover, mutation, replacement, N, K, S_RATE, M_THRE, P0, POINTS, K_FIT, T, C
39, 180.00, 2732.00, 0.010000, 2728, 0.010000, 2737, 0.010000, 2733, 0.010000, maxcut500, 500, 4990, tornament, fixedonepoint, increase, preselection, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
40, 180.00, 2646.00, 0.010000, 2653, 0.010000, 2632, 0.010000, 2654, 0.010000, maxcut500, 500, 4990, order, fixedonepoint, increase, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
41, 180.00, 2911.00, 0.010000, 2902, 0.010000, 2902, 0.010000, 2931, 0.010000, maxcut500, 500, 4990, random, fixedonepoint, increase, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
42, 180.00, 2916.00, 0.013333, 2923, 0.010000, 2898, 0.010000, 2929, 0.020000, maxcut500, 500, 4990, roulette, fixedonepoint, increase, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
43, 180.00, 2931.00, 0.010000, 2933, 0.010000, 2934, 0.010000, 2927, 0.010000, maxcut500, 500, 4990, sharing, fixedonepoint, increase, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
44, 180.00, 2765.00, 0.010000, 2771, 0.010000, 2763, 0.010000, 2763, 0.010000, maxcut500, 500, 4990, tornament, fixedonepoint, increase, preselectionvariant, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
45, 180.00, 2941.00, 0.010000, 2949, 0.010000, 2947, 0.010000, 2929, 0.010000, maxcut500, 500, 4990, order, reverse, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
46, 180.00, 2859.00, 0.013333, 2885, 0.010000, 2815, 0.020000, 2879, 0.010000, maxcut500, 500, 4990, random, reverse, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
47, 180.00, 2837.00, 0.010000, 2822, 0.010000, 2826, 0.010000, 2865, 0.010000, maxcut500, 500, 4990, roulette, reverse, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
48, 180.00, 2864.00, 0.016667, 2833, 0.030000, 2867, 0.010000, 2894, 0.010000, maxcut500, 500, 4990, sharing, reverse, general, general, 100, 10, 0.700000, 0.100000, 0.600000, 4, 4, 0.700000, 0.500000
