rate, elasped time (s), max val, avg val
0.001000, 9, 349, 303.61
0.001000, 9, 349, 303.25
0.001000, 10, 349, 303.13
0.001000, 10, 349, 303.45
0.001000, 10, 349, 303.38
0.001000, 10, 349, 303.56
0.001000, 10, 349, 303.96
0.001000, 10, 349, 303.86
0.001000, 10, 349, 304.56
0.001000, 10, 349, 303.79
0.001000, 10, 349, 303.58
0.001000, 10, 349, 303.46
0.001000, 10, 349, 303.97
0.001000, 10, 349, 303.36
0.001000, 10, 349, 303.94
0.001000, 10, 349, 304.09
0.001000, 10, 350, 304.48
0.001000, 10, 350, 304.61
0.001000, 10, 350, 303.98
0.001000, 10, 350, 304.32
0.001000, 10, 350, 303.70
0.001000, 10, 350, 303.35
0.001000, 10, 350, 304.12
0.001000, 10, 350, 304.55
0.001000, 10, 350, 304.35
0.001000, 10, 350, 303.90
0.001000, 10, 350, 303.75
0.001000, 10, 350, 303.37
0.001000, 10, 350, 304.02
0.001000, 10, 350, 303.28
0.001000, 10, 350, 303.12
0.001000, 10, 350, 303.68
0.001000, 10, 350, 302.86
0.001000, 10, 350, 304.63
0.001000, 10, 350, 304.12
0.001000, 10, 350, 304.74
0.001000, 10, 350, 304.55
0.001000, 10, 350, 304.36
0.001000, 10, 350, 304.24
0.001000, 10, 350, 303.62
0.001000, 10, 350, 303.45
0.001000, 10, 350, 303.88
0.001000, 10, 350, 303.18
0.001000, 10, 350, 303.39
0.001000, 10, 350, 304.06
0.001000, 10, 350, 303.41
0.001000, 10, 350, 303.77
0.001000, 11, 350, 303.12
0.001000, 11, 350, 303.08
0.001000, 11, 350, 304.55
0.001000, 11, 350, 303.81
0.001000, 11, 350, 303.21
0.001000, 11, 350, 303.61
0.001000, 11, 350, 304.08
0.001000, 11, 350, 304.95
0.001000, 11, 350, 304.50
0.001000, 11, 350, 305.24
0.001000, 11, 350, 304.73
0.001000, 11, 350, 303.97
0.001000, 11, 350, 304.49
0.001000, 11, 350, 304.92
0.001000, 11, 350, 304.61
0.001000, 11, 350, 304.77
0.001000, 11, 350, 304.82
0.001000, 11, 350, 304.91
0.001000, 11, 350, 304.73
0.001000, 11, 350, 304.26
0.001000, 11, 350, 304.44
0.001000, 11, 350, 304.61
0.001000, 11, 350, 303.91
0.001000, 11, 350, 304.47
0.001000, 11, 350, 303.56
0.001000, 11, 350, 304.19
0.001000, 11, 350, 304.77
0.001000, 11, 350, 304.76
0.001000, 11, 350, 304.45
0.001000, 11, 350, 303.73
0.001000, 11, 350, 303.95
0.001000, 11, 350, 303.29
0.001000, 11, 350, 303.20
0.001000, 11, 350, 303.42
0.001000, 11, 350, 303.37
